number,name,type1,type2,total,hp,attack,defense,sp_attack,sp_defense,speed,generation,legendary,is_strong
7,Squirtle,Water,Water,314,44,48,65,50,64,43,1,False,Es debil
8,Wartortle,Water,Water,405,59,63,80,65,80,58,1,False,Es fuerte
9,Blastoise,Water,Water,530,79,83,100,85,105,78,1,False,Es fuerte
9,Mega Blastoise,Water,Water,630,79,103,120,135,115,78,1,False,Es fuerte
9,Gigantamax Blasoise,Blastoise,Water,530,79,83,100,85,105,78,1,False,Es fuerte
54,Psyduck,Water,Water,320,50,52,48,65,50,55,1,False,Es debil
55,Golduck,Water,Water,500,80,82,78,95,80,85,1,False,Es fuerte
60,Poliwag,Water,Water,300,40,50,40,40,40,90,1,False,Es debil
61,Poliwhirl,Water,Water,385,65,65,65,50,50,90,1,False,Es fuerte
62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,False,Es fuerte
72,Tentacool,Water,Poison,335,40,40,35,50,100,70,1,False,Es debil
73,Tentacruel,Water,Poison,515,80,70,65,80,120,100,1,False,Es fuerte
79,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,1,False,Es fuerte
80,Slowbro,Water,Psychic,490,95,75,110,100,80,30,1,False,Es fuerte
80,Mega Slowbro,Water,Psychic,590,95,75,180,130,80,30,1,False,Es fuerte
86,Seel,Water,Water,325,65,45,55,45,70,45,1,False,Es debil
87,Dewgong,Water,Ice,475,90,70,80,70,95,70,1,False,Es fuerte
90,Shellder,Water,Water,305,30,65,100,45,25,40,1,False,Es fuerte
91,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,False,Es fuerte
98,Krabby,Water,Water,325,30,105,90,25,25,50,1,False,Es fuerte
99,Kingler,Water,Water,475,55,130,115,50,50,75,1,False,Es fuerte
99,Gigantamax Kingler,Water,Water,475,55,130,115,50,50,75,1,False,Es fuerte
116,Horsea,Water,Water,295,30,40,70,70,25,60,1,False,Es debil
117,Seadra,Water,Water,440,55,65,95,95,45,85,1,False,Es fuerte
118,Goldeen,Water,Water,320,45,67,60,35,50,63,1,False,Es fuerte
119,Seaking,Water,Water,450,80,92,65,65,80,68,1,False,Es fuerte
120,Staryu,Water,Water,340,30,45,55,70,55,85,1,False,Es debil
121,Starmie,Water,Psychic,520,60,75,85,100,85,115,1,False,Es fuerte
129,Magikarp,Water,Water,200,20,10,55,15,20,80,1,False,Es debil
130,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,False,Es fuerte
130,Mega Gyarados,Water,Dark,640,95,155,109,70,130,81,1,False,Es fuerte
131,Lapras,Water,Ice,535,130,85,80,85,95,60,1,False,Es fuerte
131,Gigantamax Lapras,Water,Ice,535,130,85,80,85,95,60,1,False,Es fuerte
134,Vaporeon,Water,Water,525,130,65,60,110,95,65,1,False,Es fuerte
138,Omanyte,Rock,Water,355,35,40,100,90,55,35,1,False,Es debil
139,Omastar,Rock,Water,495,70,60,125,115,70,55,1,False,Es debil
140,Kabuto,Rock,Water,355,30,80,90,55,45,55,1,False,Es fuerte
141,Kabutops,Rock,Water,495,60,115,105,65,70,80,1,False,Es fuerte
158,Totodile,Water,Water,314,50,65,64,44,48,43,2,False,Es fuerte
159,Croconaw,Water,Water,405,65,80,80,59,63,58,2,False,Es fuerte
160,Feraligatr,Water,Water,530,85,105,100,79,83,78,2,False,Es fuerte
170,Chinchou,Water,Electric,330,75,38,38,56,56,67,2,False,Es debil
171,Lanturn,Water,Electric,460,125,58,58,76,76,67,2,False,Es debil
183,Marill,Water,Fairy,250,70,20,50,20,50,40,2,False,Es debil
184,Azumarill,Water,Fairy,420,100,50,80,60,80,50,2,False,Es debil
186,Politoed,Water,Water,500,90,75,75,90,100,70,2,False,Es fuerte
194,Wooper,Water,Ground,210,55,45,45,25,25,15,2,False,Es debil
195,Quagsire,Water,Ground,430,95,85,85,65,65,35,2,False,Es fuerte
199,Slowking,Water,Psychic,490,95,75,80,100,110,30,2,False,Es fuerte
211,Qwilfish,Water,Poison,430,65,95,75,55,55,85,2,False,Es fuerte
222,Corsola,Water,Rock,380,55,55,85,65,85,35,2,False,Es debil
223,Remoraid,Water,Water,300,35,65,35,65,35,65,2,False,Es fuerte
224,Octillery,Water,Water,480,75,105,75,105,75,45,2,False,Es fuerte
226,Mantine,Water,Flying,465,65,40,70,80,140,70,2,False,Es debil
230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,2,False,Es fuerte
245,Suicune,Water,Water,580,100,75,115,90,115,85,2,True,Es fuerte
258,Mudkip,Water,Water,310,50,70,50,50,50,40,3,False,Es fuerte
259,Marshtomp,Water,Ground,405,70,85,70,60,70,50,3,False,Es fuerte
260,Swampert,Water,Ground,535,100,110,90,85,90,60,3,False,Es fuerte
260,Mega Swampert,Water,Ground,635,100,150,110,95,110,70,3,False,Es fuerte
270,Lotad,Water,Grass,220,40,30,30,40,50,30,3,False,Es debil
271,Lombre,Water,Grass,340,60,50,50,60,70,50,3,False,Es debil
272,Ludicolo,Water,Grass,480,80,70,70,90,100,70,3,False,Es fuerte
278,Wingull,Water,Flying,270,40,30,30,55,30,85,3,False,Es debil
279,Pelipper,Water,Flying,430,60,50,100,85,70,65,3,False,Es debil
283,Surskit,Bug,Water,269,40,30,32,50,52,65,3,False,Es debil
318,Carvanha,Water,Dark,305,45,90,20,65,20,65,3,False,Es fuerte
319,Sharpedo,Water,Dark,460,70,120,40,95,40,95,3,False,Es fuerte
319,Mega Sharpedo,Water,Dark,560,70,140,70,110,65,105,3,False,Es fuerte
320,Wailmer,Water,Water,400,130,70,35,70,35,60,3,False,Es fuerte
321,Wailord,Water,Water,500,170,90,45,90,45,60,3,False,Es fuerte
339,Barboach,Water,Ground,288,50,48,43,46,41,60,3,False,Es debil
340,Whiscash,Water,Ground,468,110,78,73,76,71,60,3,False,Es fuerte
341,Corphish,Water,Water,308,43,80,65,50,35,35,3,False,Es fuerte
342,Crawdaunt,Water,Dark,468,63,120,85,90,55,55,3,False,Es fuerte
349,Feebas,Water,Water,200,20,15,20,10,55,80,3,False,Es debil
350,Milotic,Water,Water,540,95,60,79,100,125,81,3,False,Es debil
363,Spheal,Ice,Water,290,70,40,50,55,50,25,3,False,Es debil
364,Sealeo,Ice,Water,410,90,60,70,75,70,45,3,False,Es debil
365,Walrein,Ice,Water,530,110,80,90,95,90,65,3,False,Es fuerte
366,Clamperl,Water,Water,345,35,64,85,74,55,32,3,False,Es fuerte
367,Huntail,Water,Water,485,55,104,105,94,75,52,3,False,Es fuerte
368,Gorebyss,Water,Water,485,55,84,105,114,75,52,3,False,Es fuerte
369,Relicanth,Water,Rock,485,100,90,130,45,65,55,3,False,Es fuerte
370,Luvdisc,Water,Water,330,43,30,55,40,65,97,3,False,Es debil
382,Kyogre,Water,Water,670,100,100,90,150,140,90,3,True,Es fuerte
382,Primal Kyogre,Water,Water,770,100,150,90,180,160,90,3,True,Es fuerte
393,Piplup,Water,Water,314,53,51,53,61,56,40,4,False,Es debil
394,Prinplup,Water,Water,405,64,66,68,81,76,50,4,False,Es fuerte
395,Empoleon,Water,Steel,530,84,86,88,111,101,60,4,False,Es fuerte
400,Bibarel,Normal,Water,410,79,85,60,55,60,71,4,False,Es fuerte
418,Buizel,Water,Water,330,55,65,35,60,30,85,4,False,Es fuerte
419,Floatzel,Water,Water,495,85,105,55,85,50,115,4,False,Es fuerte
422,Shellos,Water,Water,325,76,48,48,57,62,34,4,False,Es debil
423,Gastrodon,Water,Ground,475,111,83,68,92,82,39,4,False,Es fuerte
456,Finneon,Water,Water,330,49,49,56,49,61,66,4,False,Es debil
457,Lumineon,Water,Water,460,69,69,76,69,86,91,4,False,Es fuerte
458,Mantyke,Water,Flying,345,45,20,50,60,120,50,4,False,Es debil
479,Wash Rotom,Electric,Water,520,50,65,107,105,107,86,4,False,Es fuerte
484,Palkia,Water,Dragon,680,90,120,100,150,120,100,4,True,Es fuerte
489,Phione,Water,Water,480,80,80,80,80,80,80,4,True,Es fuerte
490,Manaphy,Water,Water,600,100,100,100,100,100,100,4,True,Es fuerte
501,Oshawott,Water,Water,308,55,55,45,63,45,45,5,False,Es debil
502,Dewott,Water,Water,413,75,75,60,83,60,60,5,False,Es fuerte
503,Samurott,Water,Water,528,95,100,85,108,70,70,5,False,Es fuerte
515,Panpour,Water,Water,316,50,53,48,53,48,64,5,False,Es debil
516,Simipour,Water,Water,498,75,98,63,98,63,101,5,False,Es fuerte
535,Tympole,Water,Water,294,50,50,40,50,40,64,5,False,Es debil
536,Palpitoad,Water,Ground,384,75,65,55,65,55,69,5,False,Es fuerte
537,Seismitoad,Water,Ground,509,105,95,75,85,75,74,5,False,Es fuerte
550,Basculin,Water,Water,460,70,92,65,80,55,98,5,False,Es fuerte
564,Tirtouga,Water,Rock,355,54,78,103,53,45,22,5,False,Es fuerte
565,Carracosta,Water,Rock,495,74,108,133,83,65,32,5,False,Es fuerte
580,Ducklett,Water,Flying,305,62,44,50,44,50,55,5,False,Es debil
581,Swanna,Water,Flying,473,75,87,63,87,63,98,5,False,Es fuerte
